Date,Price
12/28/2018,520
1/2/2019,550
1/4/2019,550
1/7/2019,520
1/9/2019,490
1/11/2019,420
1/14/2019,420
1/16/2019,400
1/18/2019,400
1/21/2019,380
1/23/2019,380
1/25/2019,400
1/28/2019,350
1/30/2019,380
2/1/2019,350
2/11/2019,380
2/13/2019,400
2/15/2019,420
2/18/2019,420
2/20/2019,470
2/22/2019,500
2/25/2019,580
2/27/2019,750
3/1/2019,700
3/4/2019,700
3/6/2019,740
3/8/2019,800
3/11/2019,750
3/13/2019,670
3/15/2019,620
3/18/2019,550
3/20/2019,550
3/22/2019,530
3/25/2019,550
3/27/2019,570
3/29/2019,600
4/1/2019,600
4/3/2019,580
4/5/2019,580
4/8/2019,550
4/10/2019,570
4/12/2019,570
4/17/2019,550
4/19/2019,550
4/22/2019,550
4/24/2019,550
4/26/2019,540
5/3/2019,650
5/6/2019,700
5/8/2019,700
5/10/2019,720
5/13/2019,680
5/15/2019,680
5/17/2019,720
5/20/2019,700
5/22/2019,700
5/24/2019,720
5/27/2019,750
5/29/2019,750
5/31/2019,720
6/3/2019,720
6/5/2019,720
6/7/2019,720
6/10/2019,750
6/12/2019,740
6/14/2019,730
6/17/2019,700
6/19/2019,720
6/21/2019,710
6/24/2019,700
6/26/2019,680
6/28/2019,500
7/1/2019,500
7/3/2019,680
7/5/2019,670
7/8/2019,500
7/10/2019,550
7/12/2019,570
7/15/2019,570
7/17/2019,570
7/19/2019,530
7/22/2019,550
7/24/2019,550
7/29/2019,550
7/31/2019,520
8/2/2019,480
8/5/2019,480
8/7/2019,480
8/9/2019,500
8/12/2019,450
8/14/2019,450
8/16/2019,380
8/19/2019,450
8/21/2019,400
8/23/2019,380
8/26/2019,350
8/28/2019,350
8/30/2019,350
9/4/2019,350
9/6/2019,300
9/9/2019,280
9/11/2019,280
9/13/2019,200
9/16/2019,190
9/18/2019,250
9/20/2019,210
9/23/2019,120
9/25/2019,120
9/27/2019,250
9/30/2019,220
10/2/2019,220
10/4/2019,200
10/7/2019,180
10/9/2019,200
10/11/2019,220
10/14/2019,200
10/16/2019,220
10/18/2019,230
10/21/2019,390
10/23/2019,450
10/25/2019,450
10/28/2019,460
10/30/2019,450
11/1/2019,380
11/4/2019,350
11/6/2019,300
11/8/2019,300
11/11/2019,320
11/13/2019,350
11/15/2019,380
11/18/2019,380
11/20/2019,380
11/22/2019,380
11/25/2019,470
11/27/2019,520
11/29/2019,450
12/2/2019,450
12/4/2019,520
12/6/2019,510
12/9/2019,480
12/11/2019,450
12/13/2019,450
12/16/2019,470
12/18/2019,360
12/20/2019,350
12/23/2019,400
12/25/2019,430
12/27/2019,350
12/30/2019,350
